"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured.Start.Date","Occured.End.Date","Occured.Start.Time","Occured.End.Time","Stand_inc"
"3304","Recovered Motor Vehicle","820 E. 56th St.",NA,"9/6/2015","8:07","UCPD officer recovered an unoccupied, parked vehicle that had been previously been reported stolen to CPD / CPD case HY405276","CPD","E00543","9/6/2015",NA,"8:07",NA,"OTHER"
"3305","Recovered Motor Vehicle","1232 E. 63rd St.",NA,"6/6/2017","11:08","UCPD officer recovered a vehicle that had been reported stolen to CPD / Vehicle was unoccupied / CPD case JA294467","CPD","17-00481","6/6/2017",NA,"11:08",NA,"OTHER"
"3306","Recovered Motor Vehicle","1101 E. 53rd St.",NA,"10/14/2017","2:39","UCPD officer recovered an unoccupied stolen vehicle parked at the curb off campus / Officer notified by in-car license plate reader  / Turned over to CPD / CPD case JA446608","CPD","17-00881","10/14/2017",NA,"2:39",NA,"OTHER"
"3307","Recovered Motor Vehicle","6144 S. University ","Alley","9/29/2017","9:45","UCPD officer recovered a vehicle previously reported stolen to CPD / the unoccupied vehicle was parked in an alley off campus","CPD","17-00818","9/29/2017",NA,"9:45",NA,"OTHER"
"3308","Recovered Motor Vehicle","5343 S. Ellis",NA,"9/1/2017","9:37","UCPD officer recovered an unoccupied, parked vehicle that had been reported stolen to CPD / CPD case JA408671","Closed","17-00731","9/1/2017",NA,"9:37",NA,"OTHER"
"3309","Recovered Motor Vehicle","5505 S. Ellis ","Parking Structure","10/2/2016","11:52","UCPD officer recovered a parked, unoccupied vehicle that had been previously been reported stolen to CPD / CPD case HZ329874","CPD","16-00851","10/2/2016",NA,"11:52",NA,"OTHER"
"3310","Recovered Motor Vehicle","1500 E. 61st St.",NA,"3/9/2017","1:00","UCPD officers recovered a parked, unoccupied vehicle that had been reported stolen to CPD / Discovered via in-car LPR system / CPD case JA156517","CPD","17-00182","3/9/2017",NA,"1:00",NA,"OTHER"
"3311","Recovered Motor Vehicle","834 E. 53rd St.",NA,"3/13/2018","9:19","In-car license plate reader alerted UCPD officer to a parked, unattended vehicle that had been reported stolen from Madison, WI / Madison police contacted","Closed","18-00253","3/13/2018",NA,"9:19",NA,"OTHER"
"3312","Recovered Motor Vehicle","6354 S. Greenwood ","Alley","11/4/2017","17:43","UCPD officer recovered an unoccupied vehicle abandoned in an alley / Vehicle had been taken in a vehicle hijacking reported to CPD / Officer alerted to vehicle by in-car license plate reader / Turned over to CPD / JA492414","CPD","17-00989","11/4/2017",NA,"17:43",NA,"OTHER"
"3313","Recovered Motor Vehicle","60th at Ellis",NA,"2/5/2014","19:58","Vehicle struck two cars parked on the street / Witnesses saw occupants flee on foot / UCPD officers discovered the vehicle had been reported stolen to CPD","Closed","D00127","2/5/2014",NA,"19:50",NA,"ACCIDENT"
"3314","Recovered Motor Vehicle","5442 S. Harper",NA,"10/27/2017","20:38","UCPD officer, notified by in-car license plate reader, recovered an unattended, parked car that had been reported stolen / CPD case JA476706","Closed","17-00942","10/27/2017",NA,"20:30",NA,"OTHER"
"3315","Recovered Motor Vehicle","1520 E. Midway Pl.",NA,"7/20/2017","22:23","UCPD officer was alerted by in-car license plate reader and recovered a stolen, unoccupied vehicle parked at the curb / Vehicle turned over to CPD","CPD","17-00609","7/20/2017",NA,"22:15",NA,"OTHER"
"3316","Recovered Motor Vehicle","5416 S. Ellis",NA,"9/26/2017","23:52","UCPD officer, notified by in-car license plate reader, recovered an unoccupied, parked vehicle that had previously been reported stolen to CPD / CPD case JA446279","CPD","17-00813","9/26/2017",NA,"23:52",NA,"OTHER"
"3317","Recovered Motor Vehicle","1327 E. 62nd St.",NA,"12/30/2017","17:16","UCPD officer alerted by in-car license plate reader of an unoccupied stolen vehicle parked on the street off campus / Turned over to CPD / CPD case JA568226","CPD","17-01166","12/30/2017",NA,"17:16",NA,"OTHER"
"3318","Recovered Motor Vehicle","1056 E. 55th St.",NA,"11/24/2017","22:37","UCPD officer on patrol notified by in-car license plate reader of a stolen vehicle parked at the curb / Vehicle towed and held for owner / CPD notified / CPD case JA521240","CPD","17-01065","11/24/2017",NA,"22:37",NA,"OTHER"
"3319","Recovered Motor Vehicle","6357 S. Greenwood",NA,"5/28/2017","8:04","UCPD officer recovered an unoccupied vehicle parked at the curb that had previously been reported stolen to CPD / Recovered via in-car license plate reader / CPD case","CPD","17-00445","5/28/2017",NA,"8:04",NA,"OTHER"
"3320","Recovered Motor Vehicle","5200 S. Cottage Grove",NA,"5/7/2014","19:12","UCPD officer recovered an unoccupied car parked on the street that had been reported stolen to CPD / CPD case HX246588","CPD","D00410","5/7/2014",NA,"19:12",NA,"OTHER"
"3321","Recovered Motor Vehicle","5100 S. Lake Park",NA,"6/9/2014","17:57","UCPD officer recovered an unoccupied parked vehicle that had been reported stolen to CPD / CPD case HX295966","CPD","D00549","6/9/2014",NA,"17:57",NA,"OTHER"
"3322","Recovered Motor Vehicle","945 E. 57th St. ","Public Way","6/17/2017","12:12","UCPD officer recovered a parked and unoccupied vehicle that had been reported stolen to CPD / Recovered via in-car LPR / Turned over to CPD / CPD case JA303263","CPD","17-00518","6/17/2017",NA,"12:12",NA,"OTHER"
"3323","Recovered Motor Vehicle","1132 E. 56th St.",NA,"7/26/2016","2:36","UCPD officer recovered a parked unoccupied vehicle that had been previously been reported stolen to CPD / CPD case HZ363346","CPD","16-00634","7/26/2016",NA,"2:36",NA,"OTHER"
"3324","Recovered Motor Vehicle","57th & Shore Dr.",NA,"8/1/2015","17:46","UCPD officers recovered a car after four suspects abandoned vehicle / Vehicle had been previously reported stolen to CPD / CPD case HY362888","CPD","E00476","8/1/2015",NA,"17:46",NA,"OTHER"
"3325","Recovered Motor Vehicle","1070 E. 57th St.",NA,"1/21/2018","17:06","UCPD officer recovered a stolen unoccupied, parked vehicle upon notification by in-car license plate reader","CPD","18-00075","1/21/2018",NA,"17:06",NA,"OTHER"
"3326","Recovered Motor Vehicle","1352 E 47th Pl.",NA,"9/20/2016","12:20","UCPD officer recovered an unoccupied vehicle parked on the street / Vehicle had been previously been reported stolen to CPD / CPD case HZ425244","CPD","16-00807","9/20/2016",NA,"12:20",NA,"OTHER"
"3327","Recovered Vehicle","823 E. 53rd St.",NA,"2/25/2016","20:04","UCPD officer, alerted by License Plate Reader, recovered a parked, unattended vehicle that had been reported stolen to CPD / CPD case HY527939","CPD","16-00176","2/25/2016",NA,"20:04",NA,"OTHER"
"3328","Recovered Vehicle","5326 S. Cornell",NA,"9/30/2016","10:15","UCPD officer recovered an unoccupied vehicle parked at the curb that had been previously been reported stolen to CPD / CPD case HZ435345","CPD","16-00842","9/30/2016",NA,"10:15",NA,"OTHER"
"3329","Recovered Vehicle","5505 S. Ellis ","Parking Structure","11/12/2017","10:23","UCPD officer alerted by in-car license plate reader to a stolen vehicle parked and unoccupied in the bottom floor of the structure / CPD case JA428559","CPD","17-01020","11/12/2017",NA,"10:23",NA,"OTHER"
"3330","Recovered Vehicle","810 E. Hyde Park",NA,"5/13/2014","4:50","UCPD officer recovered an unoccupied parked vehicle that had been reported stolen to Chicago Police on 5/9/14 / Returned to owner / CPD case HX254978","CPD","D00435","5/13/2014",NA,"16:50",NA,"OTHER"
"3331","Recovered Vehicle","5655 S. Cottage Grove",NA,"1/10/2018","21:14","UCPD officer recovered an unoccupied vehicle parked at the curb / Vehicle had been reported stolen to CPD","Closed","18-00038","1/10/2018",NA,"21:14",NA,"OTHER"
"3332","Recovered Vehicle","919 E. 50th St.",NA,"5/8/2014","23:26","UCPD officers recovered an unoccupied vehicle parked on the street that had been reported stolen to CPD / CPD case HX216690","CPD","D00415","5/8/2014",NA,"23:26",NA,"OTHER"
"3333","Recovered Vehicle","832 E. Midway Pl.",NA,"12/11/2017","22:41","UCPD officers recovered an unoccupied parked vehicle that had been reported taken in a robbery in another area of the city / CPD case JA534437","CPD","17-01118","12/11/2017",NA,"22:35",NA,"OTHER"
"3334","Recovered Vehicle","5135 S. Woodlawn",NA,"12/9/2014","22:35","UCPD officer recovered a motor vehicle that had been reported stolen to CPD, unoccupied and parked on the street /  CPD HX454838","CPD","D01056","12/9/2014",NA,"22:35",NA,"OTHER"
"3335","Recovered Vehicle","1453 E. 55th St.",NA,"5/24/2014","8:56","UCPD officer recovered an unattended parked vehicle that had been reported stolen to CPD / CPD case HX253794","CPD","D00482","5/24/2014",NA,"8:56",NA,"OTHER"
"3336","Recovered Vehicle","5485 S. Cornell",NA,"12/9/2014","20:08","UCPD officer recovered a motor vehicle that had been reported stolen to CPD, unoccupied and parked on the street /  CPD HX519146","CPD","D01055","12/9/2014",NA,"20:08",NA,"OTHER"
"3337","Robbery","5110 S. Kenwood ","Neighborhood Apts,","8/20/2015","21:38","Unknown suspect followed victim into off-campus apartment building and took victim's credit cards and cash before fleeing on foot / Victim reported no injuries","Open","E00514","8/20/2015",NA,"21:30",NA,"ROBBERY"
"3338","Robbery","6050 S. University ","Public Way","10/31/2016","22:44","2 victims walking on the sidewalk were approached by 5 unknown suspects who struck them and took iPhone and eyeglasses before fleeing southbound on foot / UCPD officer detained two suspects who were positively identified by victims as suspects who took their property / Victim's iPhone recovered from suspect's possession / Suspects charged with robbery","Arrest","16-00972","10/31/2016",NA,"22:35",NA,"ROBBERY"
"3339","Robbery","1145 E. 56th St. ","Public Way","5/31/2016","0:14","Victim walking on the sidewalk was struck with a fist while three unknown suspects took his backpack and fled eastbound on foot / Victim declined medical attention","Open","16-00457","5/31/2016",NA,"0:05",NA,"ROBBERY"
"3340","Robbery","Kimbark between 55th & 56th ","Public Way","3/22/2014","21:39","Seven unknown males forcibly took property from two victims walking on the sidewalk / Follow-up arrest by UCPD on 3/23/14","Arrest","D00278","3/22/2014",NA,"21:30",NA,"ROBBERY"
"3341","Robbery","5428 S. Kimbark ","Nichols Park","6/16/2014","21:51","Several suspects used force to take a cell phone from a victim sitting in the park / UCPD officers arrested a suspect after a brief chase","Arrest","D00579","6/16/2014",NA,"21:50",NA,"ROBBERY"
"3342","Robbery","5729 S. Maryland ","Sidewalk","1/3/2018","17:34","An individual walking on the sidewalk observed an unknown subject exit a blue or grey vehicle, possibly an Infiniti / The suspect approached and struck the victim on the shoulder, grabbed a cell phone from the victim<U+0092>s hand, ran back to the waiting car that drove northbound / The victim reported no physical injuries.","Open","18-00006","1/3/2018",NA,"17:25",NA,"ROBBERY"
"3343","Robbery","5400 S. Kimbark ","Public Way","10/16/2014","11:36","Three suspects used force to take a cell phone from a victim walking on the street off campus / Suspects also grabbed a cell phone from the hand of a witness standing nearby / UCPD officers arrested the three suspects and recovered the victims' cell phones","Arrest","D00909","10/16/2014",NA,"11:36",NA,"ROBBERY"
"3344","Robbery","5734 S Ellis ","Sidewalk","1/3/2018","17:46","An individual walking southbound on the sidewalk passed a grey Infiniti parked at the curb /  An unknown subject exited the passenger<U+0092>s side door and approached the victim from the rear, grabbed the victim<U+0092>s shoulder and snatched a cell phone from the victim<U+0092>s hand / The suspect reentered the car that made a U-turn driving northbound on Ellis Avenue / The suspect<U+0092>s vehicle had an Illinois license plate S173185 / The victim reported no physical injuries.","Open","18-00007","1/3/2018",NA,"17:45",NA,"ROBBERY"
"3345","Robbery","5400 S. Hyde Park ","Public Way","10/27/2014","17:44","Three suspects used force to take book bag from a victim walking on the sidewalk off campus / UCPD officers arrested a suspect and recovered the victim's property","Arrest","D00940","10/27/2014",NA,"17:40",NA,"ROBBERY"
"3346","Robbery","5413 S. Kimbark ","Public Way","4/15/2016","20:57","4 unknown suspects used force to take cash from a victim walking on the sidewalk off-campus / UCPD officers located 4 suspects who were positively identified by the victim and taken into custody / Victim reported no injuries","Arrest","16-00316","4/15/2016",NA,"20:50",NA,"ROBBERY"
"3347","Robbery","5445 S. Drexel ","Public Way","4/21/2016","10:42","Suspect forcibly took purse from a victim walking on the sidewalk / UCPD officer informed of incident by a witness, located and arrested the suspect / Victim's property recovered from suspect / Victim reported no injuries","Arrest","16-00334","4/21/2016",NA,"10:40",NA,"ROBBERY"
"3348","Robbery","5700 S. Maryland ","Public Way","1/12/2014","17:12","Unknown male forcibly took cell phone from a woman walking on the sidewalk and fled on foot","Open","D00028","1/12/2014",NA,"17:00",NA,"ROBBERY"
"3349","Robbery","5850 S. Maryland ","Public Way","8/15/2014","0:39","Two unknown suspects used force to take a cell phone from a victim jogging on the street","Open","D00744","8/15/2014",NA,"0:35",NA,"ROBBERY"
"3350","Robbery","1466 E. 56th St. ","Alley","8/18/2017","1:33","Three subjects forcibly took headphones from an individual walking in the alley off campus / UCPD officers located suspects who were positively identified by the victim and had possession of the headphones / Victim refused to prosecute suspects","Ex. Cleared","17-00683","8/18/2017",NA,"1:30",NA,"ROBBERY"
"3351","Sex Offense / Public Indecency","920 E. 58th St. ","Public Way","10/11/2017","15:27","Subject was observed sitting on a bench on the sidewalk exposing himself in a lewd manner / Arrested by UCPD officers","Arrest","17-00866","10/11/2017",NA,"15:25",NA,"DISTURBANCE"
"3352","Sex Offense / Public Indecency","1321 E. 57th St. ","Public Way","7/2/2017","15:57","Subject was observed by witnesses exposing himself and committing a lewd act on the public way within 500 feet of a playground, Bixler Park / Suspect arrested by UCPD and charged with felony Public Indecency","Arrest","17-00554","7/2/2017",NA,"15:50",NA,"DISTURBANCE"
"3353","Sex Offense / Public Indecency","1116 E. 59th St. ","Harper Library","10/18/2017","9:03","An individual exposed himself in a 3rd floor study area / Suspect fled the building when witness left to report the incident","Open","17-00900","10/18/2017",NA,"8:00",NA,"DISTURBANCE"
"3354","Sexual Assault / Fondling","1005 E. 60th St. ","Burton-Judson RH","1/30/2018","22:14","DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall / Due to confidentiality of reporting, limited information is available regarding this incident","No Investigation Referred to Title IX Coordinator","CSA Report    18-007","1/27/2018",NA,"2:00",NA,"SEXUAL ASSAULT"
"3355","Sexual Assault / Fondling","1101 E. 56th St. ","Max Palevsky RH","3/12/2018","10:15","DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall / Due to confidentiality of reporting, limited information is available regarding this incident","No Investigation Referred to Title IX Coordinator","CSA Report    18-018","2/27/2018",NA,NA,NA,"SEXUAL ASSAULT"
"3356","Sexual Assault / Fondling","1414 E. 59th St. ","I-House","10/2/2017","10:17","DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall during academic year 2016-2017 / Due to confidentiality of reporting, limited information is available regarding this incident","No Investigation Referred to Title IX Coordinator","CSA Report      17-027","Unknown Start Date","Unknown End Date",NA,NA,"SEXUAL ASSAULT"
"3357","Sexual Assault / Fondling","1414 E. 59th St. ","I-House","2/15/2018","16:51","DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall / Due to confidentiality of reporting, limited information is available regarding this incident","No Investigation Referred to Title IX Coordinator","CSA Report    18-011","2/8/2018",NA,NA,NA,"SEXUAL ASSAULT"
